"time","PM1.SSE","PM1.wconn.F_exc","WEC1.F_rad","WEC1.z","WEC1.v_z","WEC1.a_z"
337,-0.5642746877221054,-228823.7333438645,29667.89184606871,-0.5584726874862856,0.1365597702477656,0.6666577076967002
337.1,-0.5104468160033526,-224528.5651501219,77898.88569946574,-0.541556922159565,0.2009746146238066,0.6200362695631643
337.2,-0.4474349202946995,-221592.5735735364,125204.0261597251,-0.5184483333411047,0.2602638193222255,0.5643376971816633
337.3,-0.376762229195193,-219893.8303343557,170877.8133583834,-0.4897030070626787,0.3135794620935296,0.5007796519084007
337.4,-0.3001828259943119,-219270.6125696265,214239.4043265765,-0.45595541124329,0.3602015868744312,0.4306996118144311
337.5,-0.2196527594353441,-219536.7731636196,254645.3180174795,-0.4179051530906981,0.3995487060261164,0.3555216005416302
337.6,-0.1372921920349846,-220496.5324388416,291501.1949974573,-0.3763027551816789,0.431184565061221,0.2767222909070133
337.7,-0.05533730663988612,-221957.8011159193,324272.4723006489,-0.331934938058068,0.4548216729570611,0.1957977065362702
337.8,0.02391848461283888,-223743.2580803675,352493.9028914074,-0.2856097619532736,0.4703220302585111,0.114231458219865
337.9,0.09819343613995181,-225698.567837487,375777.4156995633,-0.2381416836773998,0.4776941617345861,0.0334651664976828
338,0.1652947126167091,-227697.3225929294,393818.1459227373,-0.1903371658246942,0.4770871472965437,-0.0451277195069465
338.1,0.2232010691764187,-229642.5208892823,406399.1526222856,-0.1429811001949459,0.468783329443455,-0.1202645004409694
338.2,0.2701470397239446,-231464.6347813308,413394.2818534949,-0.09682384662579034,0.453188327779626,-0.1907722365010266
338.3,0.3047039421726106,-233116.5554542871,414768.5359544508,-0.05256960152498318,0.4308181452536231,-0.255601988763715
338.4,0.3258525947409824,-234565.9274736305,410577.8287869865,-0.01086596044851047,0.4022873750670565,-0.3138397062616483
338.5,0.3330426324903619,-235785.5696795167,400967.1770344719,0.02770563058137797,0.3682960014866138,-0.3647140668022633
338.6,0.3262337411265204,-236742.8230332274,386164.8347872983,0.06263681257684747,0.3296117991142658,-0.4075979647280333
338.7,0.3059149681315928,-237388.7521147845,366478.8699497211,0.09349905280428519,0.2870593192545998,-0.4420108870839112
338.8,0.2730994730487679,-237648.1506102354,342290.0649674552,0.1199484813040006,0.2415037329205035,-0.4676171027315504
